               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088192,            0.039944,            0.048588,             0.90286,            0.068627,             0.10481,             0.03925,             0.07217,            0.018627,            0.031732,             0.07027,           0.0033033,           0.0033033
                   1,            0.060407,            0.040065,            0.027815,             0.49716,              0.1715,             0.19014,            0.068296,            0.058426,            0.017491,            0.022202,            0.040139,           0.0065052,           0.0065052
                   2,            0.057615,            0.035138,            0.012342,             0.86809,             0.36772,             0.61095,              0.2387,            0.048753,             0.01337,           0.0090935,           0.0098755,           0.0095752,           0.0095752
                   3,            0.052738,            0.033496,           0.0088411,             0.66134,             0.33744,              0.3144,              0.1328,            0.056854,            0.017111,            0.016168,            0.009406,            0.009406,            0.009406
                   4,            0.050614,            0.033953,           0.0071464,             0.54817,             0.52196,             0.49194,             0.24863,            0.050926,            0.014861,           0.0082535,            0.009406,            0.009406,            0.009406
                   5,            0.048339,            0.033835,           0.0068925,             0.42144,             0.49179,             0.54704,             0.25377,            0.047555,            0.013588,           0.0031717,            0.009208,            0.009208,            0.009208
                   6,            0.046226,            0.033324,            0.005894,             0.49305,             0.49693,             0.53363,             0.19541,            0.051976,            0.013821,           0.0055664,             0.00901,             0.00901,             0.00901
                   7,            0.045004,            0.033871,           0.0046179,             0.64872,             0.58724,             0.61665,             0.26134,            0.044936,            0.014147,           0.0019681,            0.008812,            0.008812,            0.008812
                   8,            0.043286,             0.03343,           0.0044804,             0.78054,             0.59278,             0.71325,              0.3704,            0.037829,             0.01297,           0.0015175,            0.008614,            0.008614,            0.008614
                   9,            0.042341,            0.033103,           0.0043404,             0.82665,             0.45789,             0.49814,             0.21086,            0.040924,            0.014264,           0.0038807,            0.008416,            0.008416,            0.008416
                  10,            0.042717,            0.032897,           0.0041911,             0.67964,             0.74133,             0.76564,             0.37458,            0.042219,            0.012723,           0.0015086,            0.008218,            0.008218,            0.008218
                  11,            0.041163,            0.032348,           0.0041736,             0.74221,             0.45452,             0.53755,             0.25001,            0.044036,            0.014423,           0.0031297,             0.00802,             0.00802,             0.00802
                  12,            0.040362,            0.032782,           0.0034406,             0.70516,             0.61959,             0.70695,              0.3143,            0.040013,            0.013793,           0.0011106,            0.007822,            0.007822,            0.007822
                  13,            0.039516,            0.032446,           0.0032181,             0.54356,             0.61717,             0.68557,             0.30361,            0.038909,            0.013657,           0.0020765,            0.007624,            0.007624,            0.007624
                  14,            0.040141,            0.032215,            0.003208,             0.73956,             0.58682,             0.68498,             0.38893,            0.037512,              0.0131,           0.0014131,            0.007426,            0.007426,            0.007426
                  15,            0.038431,            0.031703,           0.0028844,              0.6886,             0.75274,             0.78202,             0.43571,            0.035529,             0.01295,            0.001143,            0.007228,            0.007228,            0.007228
                  16,             0.03901,            0.032599,           0.0027329,             0.58617,             0.58617,             0.64602,             0.31682,            0.039298,            0.013613,           0.0019587,             0.00703,             0.00703,             0.00703
                  17,            0.038069,            0.032265,           0.0024789,             0.68851,             0.68803,             0.74247,             0.43699,            0.036229,            0.013091,          0.00093656,            0.006832,            0.006832,            0.006832
                  18,            0.038418,            0.031421,            0.002496,             0.71533,              0.7909,              0.8032,             0.40136,            0.037788,             0.01267,           0.0020674,            0.006634,            0.006634,            0.006634
                  19,            0.037829,            0.031626,           0.0028089,             0.59004,             0.67618,             0.73614,             0.39245,            0.033407,            0.013175,          0.00091782,            0.006436,            0.006436,            0.006436
                  20,            0.036941,            0.030935,           0.0022338,             0.48325,             0.64279,             0.62206,             0.31735,            0.035029,            0.013748,          0.00086532,            0.006238,            0.006238,            0.006238
                  21,            0.036586,            0.031252,           0.0025915,             0.53139,             0.72042,             0.70057,             0.36809,            0.032658,            0.013335,           0.0010024,             0.00604,             0.00604,             0.00604
                  22,            0.036606,            0.031857,           0.0027569,             0.59148,             0.71293,              0.7195,             0.37758,            0.032953,            0.013447,          0.00083027,            0.005842,            0.005842,            0.005842
                  23,            0.036093,            0.031208,           0.0023565,              0.7621,             0.54905,             0.68603,              0.3441,             0.03924,            0.012995,          0.00098319,            0.005644,            0.005644,            0.005644
                  24,            0.035423,            0.031057,           0.0021915,             0.76566,             0.72051,             0.79595,             0.43713,            0.031398,            0.012672,          0.00073929,            0.005446,            0.005446,            0.005446
                  25,            0.035354,            0.030893,           0.0031652,             0.80705,             0.64739,             0.74948,             0.41619,            0.037956,            0.012706,          0.00091453,            0.005248,            0.005248,            0.005248
                  26,            0.034883,            0.031294,            0.002226,             0.55391,             0.68976,             0.69105,             0.38835,             0.03307,            0.013286,           0.0009244,             0.00505,             0.00505,             0.00505
                  27,            0.034695,            0.030775,           0.0018753,             0.73079,             0.73239,             0.77996,             0.41204,            0.032755,            0.012981,          0.00054638,            0.004852,            0.004852,            0.004852
                  28,            0.035087,            0.030684,           0.0020099,             0.51922,             0.71564,             0.72915,             0.40698,            0.031745,            0.012836,          0.00062928,            0.004654,            0.004654,            0.004654
                  29,            0.033836,            0.030208,           0.0017152,             0.75514,             0.76948,             0.77681,             0.41418,            0.030202,             0.01262,          0.00055161,            0.004456,            0.004456,            0.004456
                  30,             0.03369,            0.030778,           0.0019532,             0.67863,              0.7899,             0.80285,             0.42887,            0.032834,            0.013022,           0.0005609,            0.004258,            0.004258,            0.004258
                  31,            0.033726,            0.030176,           0.0020009,             0.60753,             0.72925,             0.73936,             0.38372,            0.033107,            0.012921,          0.00057006,             0.00406,             0.00406,             0.00406
                  32,            0.033564,            0.030091,           0.0015685,              0.6561,             0.70028,             0.74726,               0.425,            0.030666,            0.013346,          0.00052321,            0.003862,            0.003862,            0.003862
                  33,            0.033219,            0.029792,           0.0014307,             0.60266,             0.66817,             0.71525,             0.39118,             0.03113,            0.013569,          0.00058186,            0.003664,            0.003664,            0.003664
                  34,            0.032915,            0.030289,           0.0013981,             0.72366,             0.72076,             0.80724,             0.37798,            0.035526,            0.013646,          0.00054495,            0.003466,            0.003466,            0.003466
                  35,            0.033046,            0.029276,           0.0012836,             0.68095,             0.71231,             0.80538,              0.4383,            0.034616,            0.012291,          0.00041349,            0.003268,            0.003268,            0.003268
                  36,            0.032867,            0.029123,           0.0011681,             0.72151,             0.69491,             0.73168,             0.38737,            0.034039,            0.013208,          0.00050948,             0.00307,             0.00307,             0.00307
                  37,            0.032286,            0.029324,           0.0013753,             0.66295,             0.77634,             0.77999,             0.43861,            0.033085,            0.013156,          0.00036807,            0.002872,            0.002872,            0.002872
                  38,            0.032592,            0.029363,            0.001327,             0.75479,             0.73151,             0.79153,             0.42565,            0.032319,            0.012891,           0.0005167,            0.002674,            0.002674,            0.002674
                  39,            0.032442,            0.029563,           0.0015774,             0.65977,              0.7661,             0.78278,             0.43326,            0.033805,            0.012916,           0.0004107,            0.002476,            0.002476,            0.002476
                  40,            0.031864,            0.029046,           0.0010725,             0.77936,             0.72287,             0.76298,             0.43172,             0.03153,            0.013234,          0.00042254,            0.002278,            0.002278,            0.002278
                  41,            0.031791,            0.029833,           0.0014337,              0.5889,             0.71809,             0.70739,             0.36854,            0.034757,            0.013324,          0.00042901,             0.00208,             0.00208,             0.00208
                  42,            0.031249,            0.028304,           0.0010179,             0.58816,             0.75461,             0.72805,             0.41208,            0.032173,            0.013375,          0.00038545,            0.001882,            0.001882,            0.001882
                  43,            0.030924,            0.029211,           0.0013571,             0.70051,             0.74269,              0.7878,              0.4422,             0.03361,            0.013242,          0.00032762,            0.001684,            0.001684,            0.001684
                  44,            0.030858,             0.02833,          0.00099176,             0.60856,             0.66429,             0.66712,             0.34652,            0.033767,            0.013296,          0.00033624,            0.001486,            0.001486,            0.001486
                  45,            0.030538,            0.028881,            0.001056,             0.68108,             0.73076,              0.7619,             0.41701,            0.033072,            0.012737,          0.00025789,            0.001288,            0.001288,            0.001288
                  46,            0.030515,            0.029171,          0.00096025,             0.64636,             0.71198,              0.7629,             0.42201,            0.032963,            0.012822,          0.00026736,             0.00109,             0.00109,             0.00109
                  47,            0.030162,            0.028448,           0.0012381,             0.71015,             0.70971,             0.75183,             0.42186,            0.032418,            0.013349,          0.00027167,            0.000892,            0.000892,            0.000892
                  48,            0.029683,            0.028328,          0.00097966,             0.63535,              0.7697,              0.7594,             0.40329,            0.033732,            0.013535,          0.00027561,            0.000694,            0.000694,            0.000694
                  49,            0.029782,            0.028494,          0.00080392,             0.76251,             0.70696,              0.7659,             0.43708,            0.033628,            0.013294,           0.0002574,            0.000496,            0.000496,            0.000496
