               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.023759,            0.022845,           0.0010072,             0.76871,             0.73303,             0.80323,             0.44801,            0.039776,            0.017112,          0.00050597,             0.07027,           0.0033033,           0.0033033
                   1,            0.023735,            0.022628,          0.00076301,             0.69079,             0.81475,             0.76012,             0.39765,            0.041128,            0.017347,          0.00057571,            0.040205,           0.0065709,           0.0065709
                   2,            0.024617,            0.022893,          0.00081452,             0.73981,             0.72031,             0.78576,             0.41822,            0.040321,            0.017918,          0.00091939,            0.010073,           0.0097726,           0.0097726
                   3,            0.026365,            0.023321,          0.00093525,             0.78496,             0.72817,             0.76275,             0.42006,            0.039764,            0.016513,          0.00052335,            0.009703,            0.009703,            0.009703
                   4,            0.027288,            0.024491,           0.0011576,             0.68939,             0.67928,             0.70816,             0.35059,            0.042366,            0.016666,          0.00071168,            0.009703,            0.009703,            0.009703
                   5,            0.028175,            0.024801,           0.0010213,             0.68591,             0.72796,             0.71851,             0.41569,            0.040087,            0.015263,          0.00064316,            0.009604,            0.009604,            0.009604
                   6,            0.027305,            0.024487,           0.0010958,             0.68075,             0.85471,              0.8058,              0.4195,            0.039788,            0.014682,          0.00041943,            0.009505,            0.009505,            0.009505
                   7,             0.02719,            0.024894,           0.0011864,             0.61401,             0.58808,             0.62976,             0.31996,            0.042156,            0.017341,          0.00048459,            0.009406,            0.009406,            0.009406
                   8,            0.027021,            0.025133,           0.0011183,             0.66417,             0.58711,             0.67745,             0.33116,             0.04355,            0.016808,          0.00099521,            0.009307,            0.009307,            0.009307
                   9,            0.027128,            0.025031,           0.0010583,             0.76476,             0.63436,             0.70946,             0.36193,            0.039865,             0.01607,          0.00044289,            0.009208,            0.009208,            0.009208
                  10,            0.026597,            0.024566,           0.0011672,             0.69676,             0.65563,             0.70225,             0.36631,            0.039797,            0.014023,          0.00042522,            0.009109,            0.009109,            0.009109
                  11,            0.027015,            0.024561,           0.0013763,             0.72359,             0.69694,             0.73853,             0.43582,            0.037143,            0.015759,          0.00054696,             0.00901,             0.00901,             0.00901
                  12,            0.027383,            0.025176,           0.0012297,             0.79169,             0.71489,             0.78811,             0.45165,             0.03554,            0.014629,           0.0010659,            0.008911,            0.008911,            0.008911
                  13,            0.026758,            0.024761,           0.0012833,             0.84091,              0.7583,             0.83039,              0.4364,            0.035499,            0.015324,          0.00085609,            0.008812,            0.008812,            0.008812
                  14,            0.026814,            0.025162,           0.0013193,             0.63557,             0.70281,             0.71107,             0.37721,            0.040055,             0.01619,          0.00072899,            0.008713,            0.008713,            0.008713
                  15,            0.026332,            0.024506,           0.0010894,             0.45782,             0.51574,             0.51664,             0.24139,            0.048721,            0.018093,           0.0018785,            0.008614,            0.008614,            0.008614
                  16,            0.026903,            0.025253,           0.0014091,             0.70288,             0.59527,             0.68099,             0.29588,            0.041457,            0.017046,          0.00067878,            0.008515,            0.008515,            0.008515
                  17,            0.026308,            0.024702,           0.0010414,             0.75052,             0.72163,             0.76769,             0.40241,            0.038604,            0.015952,           0.0015764,            0.008416,            0.008416,            0.008416
                  18,            0.026948,            0.024046,           0.0010152,             0.60012,             0.54483,             0.63266,              0.3339,            0.040625,            0.017396,          0.00098083,            0.008317,            0.008317,            0.008317
                  19,            0.026134,            0.024419,          0.00088659,             0.66872,             0.62873,             0.63702,             0.36535,            0.042105,            0.017502,          0.00077033,            0.008218,            0.008218,            0.008218
                  20,             0.02678,            0.024275,           0.0011121,             0.72703,             0.70413,             0.71107,             0.37667,            0.038294,            0.016441,          0.00054116,            0.008119,            0.008119,            0.008119
                  21,            0.026172,            0.024238,           0.0012163,             0.66241,              0.7205,             0.69436,             0.38709,            0.038678,            0.017062,           0.0004667,             0.00802,             0.00802,             0.00802
                  22,             0.02605,            0.024452,           0.0012355,             0.64932,             0.69852,             0.71378,             0.39999,            0.035673,            0.016354,          0.00037293,            0.007921,            0.007921,            0.007921
                  23,            0.026421,            0.024555,           0.0011014,             0.76758,             0.76604,             0.75353,             0.39006,            0.038296,            0.016636,          0.00045261,            0.007822,            0.007822,            0.007822
                  24,            0.026233,            0.024156,           0.0010198,             0.59301,             0.64225,             0.64311,             0.26609,            0.046005,            0.018242,          0.00094771,            0.007723,            0.007723,            0.007723
                  25,            0.025991,            0.024422,            0.001307,             0.74285,             0.78703,              0.8077,             0.43451,            0.038012,            0.017154,          0.00091653,            0.007624,            0.007624,            0.007624
                  26,            0.025393,            0.024115,           0.0010256,             0.67677,             0.63808,             0.71701,             0.32793,            0.040003,            0.018036,          0.00075452,            0.007525,            0.007525,            0.007525
                  27,            0.025226,            0.024449,            0.001266,             0.71038,             0.76078,             0.75812,             0.43145,            0.034575,            0.018406,           0.0006114,            0.007426,            0.007426,            0.007426
                  28,            0.025899,            0.024178,           0.0011419,             0.68157,             0.69404,             0.69222,             0.40823,            0.040509,            0.017314,          0.00058351,            0.007327,            0.007327,            0.007327
                  29,            0.025408,            0.023495,           0.0012574,             0.75428,             0.69645,             0.73802,             0.37737,            0.039458,             0.01817,          0.00075302,            0.007228,            0.007228,            0.007228
                  30,            0.024803,            0.024119,           0.0012622,             0.81789,             0.76497,             0.78748,             0.45298,            0.037277,            0.015283,          0.00049946,            0.007129,            0.007129,            0.007129
                  31,            0.025449,            0.023705,           0.0013894,             0.76777,             0.70038,             0.76605,             0.42664,            0.039071,            0.016105,          0.00058236,             0.00703,             0.00703,             0.00703
                  32,            0.025549,            0.023699,           0.0010462,             0.76015,             0.66832,             0.72873,             0.41242,            0.037317,            0.017943,          0.00060239,            0.006931,            0.006931,            0.006931
                  33,            0.025448,            0.023274,           0.0011252,             0.72528,             0.68917,             0.75658,             0.41421,            0.039492,            0.017514,          0.00049996,            0.006832,            0.006832,            0.006832
                  34,            0.024845,             0.02327,          0.00095169,             0.62231,             0.66153,             0.68108,             0.31247,            0.043456,            0.018209,          0.00049052,            0.006733,            0.006733,            0.006733
                  35,            0.025063,            0.023196,          0.00083187,             0.70755,             0.72159,             0.73159,              0.3573,            0.041458,            0.017898,           0.0005132,            0.006634,            0.006634,            0.006634
                  36,            0.024979,            0.023056,          0.00083358,             0.71467,             0.71486,             0.74743,             0.37859,            0.040686,            0.016956,          0.00078378,            0.006535,            0.006535,            0.006535
