               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081888,            0.042494,            0.046428,             0.42382,             0.23557,             0.10747,            0.039765,            0.062869,            0.020204,            0.029814,             0.07027,           0.0033033,           0.0033033
                   1,            0.057019,            0.039824,            0.024938,             0.76104,             0.32789,             0.35518,             0.16445,             0.05408,            0.014188,            0.016807,            0.040205,           0.0065709,           0.0065709
                   2,            0.055754,            0.035926,            0.011252,             0.58809,             0.47887,              0.4704,             0.17534,            0.052017,            0.014546,           0.0079296,            0.010073,           0.0097726,           0.0097726
                   3,            0.050961,            0.035046,           0.0094569,              0.6559,             0.36234,             0.29173,             0.12811,            0.061014,            0.014262,           0.0085144,            0.009703,            0.009703,            0.009703
                   4,              0.0494,            0.035671,            0.008267,             0.58593,             0.51624,             0.57365,             0.25462,            0.047614,            0.014164,           0.0047144,            0.009703,            0.009703,            0.009703
                   5,             0.04765,            0.035745,           0.0078936,             0.49372,             0.66877,             0.62014,             0.23352,            0.054545,            0.014107,           0.0033274,            0.009604,            0.009604,            0.009604
                   6,            0.046015,            0.035135,           0.0065685,             0.60245,             0.63756,             0.63213,             0.28465,            0.044618,            0.015074,           0.0026464,            0.009505,            0.009505,            0.009505
                   7,            0.045038,            0.035778,           0.0054651,             0.62425,             0.69883,              0.6624,              0.3115,            0.044798,            0.014076,           0.0036306,            0.009406,            0.009406,            0.009406
                   8,            0.043507,            0.035528,           0.0058204,             0.54299,             0.69767,             0.69704,              0.3095,            0.042251,            0.013206,           0.0018248,            0.009307,            0.009307,            0.009307
                   9,            0.042701,            0.035342,           0.0050908,             0.70558,             0.65373,             0.66821,             0.23598,             0.04618,            0.012823,           0.0021263,            0.009208,            0.009208,            0.009208
                  10,            0.041784,            0.035015,           0.0048191,             0.62283,             0.56637,             0.60431,             0.21875,            0.049711,            0.013488,           0.0032209,            0.009109,            0.009109,            0.009109
                  11,            0.041792,            0.034424,           0.0055101,             0.64436,             0.70324,             0.73565,             0.33719,            0.042088,            0.013556,           0.0020136,             0.00901,             0.00901,             0.00901
                  12,            0.040856,            0.034742,           0.0046626,             0.43181,             0.61476,              0.6145,             0.30651,             0.04366,            0.013596,           0.0019395,            0.008911,            0.008911,            0.008911
                  13,            0.040674,            0.034158,           0.0042886,             0.62604,             0.77444,             0.77668,             0.33965,            0.040045,             0.01245,           0.0016273,            0.008812,            0.008812,            0.008812
                  14,            0.040793,            0.034721,           0.0046182,             0.77103,             0.63328,             0.74049,             0.34164,            0.039593,            0.012641,           0.0014171,            0.008713,            0.008713,            0.008713
                  15,            0.039502,            0.033557,           0.0039652,             0.51845,             0.60351,             0.67088,             0.32189,            0.048069,            0.012515,           0.0012694,            0.008614,            0.008614,            0.008614
                  16,            0.039256,            0.034971,           0.0045028,             0.64244,              0.7563,              0.7954,               0.428,            0.037128,            0.013027,           0.0014485,            0.008515,            0.008515,            0.008515
                  17,            0.039278,            0.034463,           0.0036276,             0.60627,             0.78607,             0.72772,             0.36562,            0.038988,            0.012184,           0.0010612,            0.008416,            0.008416,            0.008416
                  18,             0.04017,            0.033286,           0.0034155,             0.71867,             0.72642,             0.76946,             0.39306,            0.039677,            0.013363,          0.00089908,            0.008317,            0.008317,            0.008317
                  19,            0.038101,            0.033706,           0.0035493,              0.6002,             0.67444,             0.73297,             0.32276,            0.046211,            0.013656,           0.0009347,            0.008218,            0.008218,            0.008218
                  20,            0.038046,             0.03309,           0.0031343,             0.71564,             0.68747,             0.75196,             0.38542,            0.039543,            0.012925,          0.00096231,            0.008119,            0.008119,            0.008119
                  21,            0.037329,            0.033131,           0.0029756,             0.66003,             0.71173,             0.79924,             0.40824,            0.036105,            0.013265,           0.0010081,             0.00802,             0.00802,             0.00802
                  22,            0.037081,            0.033643,           0.0033375,             0.68949,             0.64426,             0.67514,             0.34456,            0.039412,            0.013426,          0.00097861,            0.007921,            0.007921,            0.007921
                  23,            0.037399,            0.033567,           0.0029777,             0.62206,             0.70848,              0.6822,             0.33531,            0.037104,            0.013738,           0.0016809,            0.007822,            0.007822,            0.007822
                  24,             0.03757,            0.033338,           0.0029486,             0.75029,             0.70827,              0.7622,             0.36469,            0.040639,            0.013132,           0.0011308,            0.007723,            0.007723,            0.007723
                  25,            0.036086,            0.033009,           0.0029552,             0.52681,             0.68654,             0.73134,             0.35706,            0.036252,            0.012953,           0.0010649,            0.007624,            0.007624,            0.007624
                  26,            0.035698,            0.033166,           0.0030243,             0.80006,             0.66562,             0.74702,             0.37539,            0.035455,            0.013401,           0.0017737,            0.007525,            0.007525,            0.007525
                  27,            0.035437,            0.032779,           0.0031432,             0.56111,             0.70232,             0.72733,             0.37197,            0.035501,            0.012948,           0.0006762,            0.007426,            0.007426,            0.007426
