               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1044,             0.10058,            0.032829,             0.51608,             0.85999,             0.58574,             0.33292,            0.085334,             0.03162,           0.0068158,            0.067179,          0.00033152,          0.00033152
                   1,            0.082613,            0.096729,            0.025442,              0.6051,             0.83596,             0.73295,             0.41145,            0.070145,            0.026911,           0.0037114,            0.034177,          0.00066275,          0.00066275
                   2,            0.066601,            0.094387,            0.022463,              0.6164,             0.77057,             0.74028,             0.35395,            0.056032,            0.032729,           0.0035805,            0.001173,          0.00099187,          0.00099187
                   3,            0.054961,            0.099465,            0.020467,             0.72638,             0.85929,             0.87482,             0.48459,            0.042461,            0.031723,           0.0021273,           0.0009905,           0.0009905,           0.0009905
                   4,            0.047286,            0.099718,            0.018477,              0.7904,             0.87473,             0.90478,             0.51296,            0.038505,            0.030912,           0.0022818,           0.0009905,           0.0009905,           0.0009905
                   5,            0.043574,             0.10278,            0.017758,             0.85693,             0.90465,             0.93124,             0.54653,            0.035758,            0.030339,           0.0021291,          0.00098733,          0.00098733,          0.00098733
                   6,            0.040814,             0.10157,            0.016881,             0.83259,             0.75667,             0.83901,             0.44582,            0.040441,            0.031997,           0.0027313,          0.00098417,          0.00098417,          0.00098417
                   7,            0.039163,             0.10096,             0.01626,             0.85151,             0.83469,               0.908,             0.52223,            0.036501,            0.029887,           0.0023101,            0.000981,            0.000981,            0.000981
                   8,            0.038102,             0.10061,            0.015538,             0.89507,             0.89697,             0.95517,             0.59316,            0.032232,            0.028823,           0.0017884,          0.00097783,          0.00097783,          0.00097783
                   9,            0.038006,             0.10039,            0.015857,             0.91069,             0.92946,             0.95609,             0.59377,            0.031684,            0.027939,           0.0018076,          0.00097467,          0.00097467,          0.00097467
                  10,            0.036662,            0.099542,            0.015348,             0.82428,             0.79553,             0.86275,             0.47357,            0.038578,            0.030675,           0.0025933,           0.0009715,           0.0009715,           0.0009715
                  11,            0.036494,            0.097883,            0.014896,             0.89582,              0.9063,             0.95096,             0.57176,            0.032831,            0.028107,           0.0016506,          0.00096833,          0.00096833,          0.00096833
